series_id,series
563,ghosts 'n goblins
564,i expect you to die
565,little nightmares
566,marvel
567,melty blood
568,schizm
569,the world ends with you
570,nerf
571,nickelodeon super brawl
572,r-type
573,record of lodoss war
574,wrestlefest
575,rune factory
576,crayon shin-chan by yoshito usui
577,shovel knight
578,stronghold
579,subnautica
580,super monkey ball
581,voice of cards
582,age of sigmar
583,werewolf: the apocalypse
584,witchspring
585,among us
586,"darkstalkers,street fighter"
587,chocobo
588,crossfire
589,dungeon & fighter
590,eiyuden chronicle
591,evil dead
592,f1 manager
593,galactic civilizations
594,goat simulator
595,kao the kangaroo
596,klonoa
597,raving rabbids
598,mario strikers
599,miss kobayashi's dragon maid
600,utawarerumono
601,mount & blade
602,postal
603,quake
604,monkey island
605,cresta series
606,neo-classic arcade
607,devil summoner
608,sucker for love
609,touken ranbu
610,world of warcraft
611,yars
612,yu-gi-oh! trading card game
613,wars
614,zeno clash
615,company of heroes
616,dead space
617,dune
618,1-2-switch
619,fuga: melodies of steel
620,layers of fear
621,city building
622,puppet master
623,the settlers
624,hypnospace outlaw
625,system shock
